,Year,Country,Population
736,1966,EST,1308597.0
737,1966,FRA,50330262.0
738,1966,ESP,32283194.0
739,1966,EGY,31237600.0
740,1966,ITA,52519000.0
741,1966,AZE,4721523.0
742,1966,RUS,127468000.0
743,1966,ARG,22494035.0
744,1966,CUB,8115487.0
745,1966,BLR,8696496.0
746,1966,CMR,5909882.0
747,1966,MEX,45519737.0
748,1966,USA,196560000.0
749,1966,HUN,10178653.0
750,1966,BRN,107274.0
751,1966,PAK,52260189.0
752,1966,IRQ,8651162.0
753,1966,QAT,79846.0
754,1966,CAN,20048000.0
755,1966,IRL,2888800.0
756,1966,AUS,11651000.0
757,1966,MAR,14595350.0
758,1966,ERI,1178875
759,1966,JOR,1267062.0
760,1966,TUN,4641000.0
761,1966,BEL,9527807.0
762,1966,DJI,122866.0
763,1966,COM,211478.0
764,1966,KAZ,12132559.0
765,1966,MDV,105136.0
766,1966,ETH,25641044.0
767,1966,UZB,10493436.0
768,1966,KGZ,2655300.0
769,1966,TJK,2574511.0
770,1966,JPN,99790000.0
771,1966,BRA,85696505.0
772,1966,ISR,2629000.0
773,1966,SWE,7807797.0
774,1966,TUR,31717507.0
775,1966,ARM,2276034.0
776,1966,CIV,4383728.0
777,1966,KEN,9851444.0
778,1966,BEN,2682159.0
779,1966,GHA,7941412.0
780,1966,SOM,3143648.0
781,1966,SYR,5553246.0
782,1966,GBR,54648500.0
783,1966,CHI,116227.0
784,1966,IND,509631500.0
785,1966,POL,31681000.0
786,1966,PAN,1353842.0
787,1966,GEO,3966700.0
788,1966,GUY,664521.0
789,1966,VEN,10022592.0
790,1966,COL,19279740.0
791,1966,PER,12045787.0
792,1966,UGA,8263439.0
793,1966,NZL,2675900.0
794,1966,ECU,5399422.0
795,1966,TKM,1952141.0
796,1966,TTO,919217.0
797,1966,DOM,3999796.0
798,1966,JAM,1780518.0
799,1966,LBR,1273464.0
800,1966,SUR,338158.0
801,1966,PLW,11179.0
802,1966,LTU,3008050.0
803,1966,NAM,734867.0
804,1966,UKR,45684979.0
805,1966,ISL,195570.0
806,1966,AUT,7322066.0
807,1966,RWA,3321679.0
808,1966,DMA,66311.0
809,1966,MLT,315200.0
810,1966,LUX,333895.0
811,1966,CYP,585309.0
812,1966,SGP,1934400.0
813,1966,SLE,2551578.0
814,1966,PNG,2539674.0
815,1966,AFG,10174836.0
816,1966,YEM,5816247.0
817,1966,MDA,2873000.0
818,1966,SRB,..
819,1966,CAF,1673019.0
