,Year,Country,Population,GDP
360,1962,NRU,4944.0,..
361,1962,VNM,34683407.0,..
362,1962,MHL,15547.0,..
363,1962,KIR,43281.0,..
364,1962,TUV,5340.0,..
365,1962,SSD,2951043.0,..
366,1963,CHN,682335000.0,50706799903.0
367,1963,FIN,4523309.0,6885920329.0
368,1963,ROU,18797850.0,..
369,1963,NOR,3666537.0,6510239503.0
370,1963,EST,1258857.0,..
371,1963,FRA,48582611.0,85551113767.0
372,1963,ESP,31296651.0,19074913948.0
373,1963,EGY,28871383.0,..
374,1963,ITA,51252000.0,57710743060.0
375,1963,AZE,4315127.0,..
376,1963,RUS,123960000.0,..
377,1963,ARG,21488912.0,18272123664
378,1963,CUB,7623294.0,..
379,1963,BLR,8437232.0,..
380,1963,CMR,5518104.0,723624365.3
381,1963,MEX,41462369.0,16960000000.0
382,1963,USA,189242000.0,639000000000.0
383,1963,HUN,10087947.0,..
384,1963,BRN,93540.0,..
385,1963,PAK,48387301.0,4540529105.0
386,1963,IRQ,7888913.0,1978437693
387,1963,QAT,61716.0,..
388,1963,CAN,18964000.0,45713151050
389,1963,IRL,2852650.0,2430843768.0
390,1963,AUS,10950000.0,21507447643.0
391,1963,MAR,13478423.0,2657247327.0
392,1963,ERI,1088854,..
393,1963,JOR,1050213.0,..
394,1963,TUN,4380068.0,..
395,1963,BEL,9289770.0,14260017387.0
396,1963,DJI,100628.0,..
397,1963,COM,200372.0,..
398,1963,KAZ,11147859.0,..
399,1963,MDV,97551.0,..
400,1963,ETH,23798430.0,..
401,1963,UZB,9428906.0,..
402,1963,KGZ,2413700.0,..
403,1963,TJK,2318248.0,..
404,1963,JPN,96812000.0,69498131797.0
405,1963,BRA,78772657.0,23021477292.0
406,1963,ISR,2379000.0,2992333333.0
407,1963,SWE,7604328.0,18954132366.0
408,1963,TUR,29531365.0,10355555556.0
409,1963,ARM,2077578.0,..
410,1963,CIV,3918628.0,761047045.8
411,1963,KEN,8928511.0,926589348.6
412,1963,BEN,2542859.0,253927646.5
413,1963,GHA,7300116.0,1540797517
414,1963,SOM,2936477.0,216145935.9
415,1963,SYR,5034646.0,1200447429
416,1963,GBR,53650000.0,85443766670.0
417,1963,CHI,112595.0,..
418,1963,IND,478825608.0,48421924618.0
419,1963,POL,30712000.0,..
420,1963,PAN,1238889.0,722784500
421,1963,GEO,3816100.0,..
422,1963,GUY,622575.0,175756868.7
423,1963,VEN,9052635.0,9753333333
424,1963,COL,17629979.0,4836166667.0
425,1963,PER,11062300.0,3600957771.0
426,1963,UGA,7461634.0,516147798.7
427,1963,NZL,2531800.0,6638937283.0
428,1963,ECU,4948986.0,1824344492.0
429,1963,TKM,1773853.0,..
430,1963,TTO,891944.0,678235373.0
431,1963,DOM,3638109.0,940799900
432,1963,JAM,1703651.0,826690466.2
433,1963,LBR,1191802.0,..
434,1963,SUR,311947.0,125950000.0
435,1963,PLW,10569.0,..
436,1963,LTU,2898950.0,..
437,1963,NAM,681637.0,..
438,1963,UKR,44288608.0,..
439,1963,ISL,185653.0,340061650.1
440,1963,AUT,7175811.0,8374175258.0
441,1963,RWA,3105419.0,128000000.0
442,1963,DMA,62918.0,..
443,1963,MLT,322550.0,..
444,1963,LUX,324100.0,791140595.8
445,1963,CYP,577913.0,..
446,1963,SGP,1795000.0,917614007.6
447,1963,SLE,2426857.0,348546952.1
448,1963,PNG,2385946.0,275968039.5
449,1963,AFG,9543205.0,751111191.1
450,1963,YEM,5556766.0,..
451,1963,MDA,2720000.0,..
452,1963,SRB,..,..
453,1963,CAF,1579370.0,129379097.9
454,1963,BIH,3417574.0,..
455,1963,GUM,71286.0,..
456,1963,SVK,4282017.0,..
457,1963,THA,29966865.0,3540403457.0
458,1963,TLS,500647.0,..
459,1963,GAB,517580.0,154480244.2
460,1963,SMR,16679.0,..
461,1963,LAO,2273351.0,..
462,1963,KOR,27261747.0,3988476879.0
463,1963,PRK,12065468.0,..
464,1963,MOZ,7679458.0,..
465,1963,SEN,3481654.0,1122139637
466,1963,CPV,216096.0,..
467,1963,CZE,9670685.0,..
468,1963,BOL,3879192.0,478805990.1
469,1963,AND,16412.0,..
470,1963,HKG,3420900.0,1935298266.0
471,1963,LCA,93211.0,..
472,1963,FSM,48855.0,..
473,1963,COD,16461830.0,6213185743
474,1963,MLI,5441613.0,..
475,1963,STP,64231.0,..
476,1963,MKD,1547450.0,..
477,1963,LIE,17719.0,..
478,1963,MNE,513409.0,..
479,1963,ALB,1762621.0,..
480,1963,SWZ,357292.0,54128377.43
481,1963,BDI,2964427.0,232749998.0
482,1963,NRU,5275.0,..
483,1963,VNM,35721217.0,..
484,1963,MHL,16114.0,..
485,1963,KIR,44338.0,..
486,1963,TUV,5343.0,..
487,1963,SSD,3009062.0,..
488,1964,CHN,698355000.0,59708343489.0
489,1964,FIN,4548543.0,7766655086.0
490,1964,ROU,18919126.0,..
491,1964,NOR,3694339.0,7159202706.0
492,1964,EST,1277086.0,..
493,1964,FRA,49230595.0,94906593388.0
494,1964,ESP,31609195.0,21343844644.0
495,1964,EGY,29644875.0,..
496,1964,ITA,51675350.0,63175417019.0
497,1964,AZE,4456687.0,..
498,1964,RUS,125345000.0,..
499,1964,ARG,21824425.0,25605249382
500,1964,CUB,7793262.0,..
501,1964,BLR,8524224.0,..
502,1964,CMR,5643036.0,782384527.8
503,1964,MEX,42771079.0,20080000000.0
504,1964,USA,191889000.0,686000000000.0
505,1964,HUN,10119835.0,..
506,1964,BRN,97812.0,..
507,1964,PAK,49627623.0,5130407728.0
508,1964,IRQ,8122197.0,2340521143
509,1964,QAT,67566.0,..
510,1964,CAN,19325000.0,50126643039
511,1964,IRL,2866550.0,2766608946.0
512,1964,AUS,11167000.0,23764139321.0
513,1964,MAR,13857649.0,2798339769.0
514,1964,ERI,1118159,..
515,1964,JOR,1102399.0,..
516,1964,TUN,4461114.0,..
517,1964,BEL,9378113.0,15960106681.0
518,1964,DJI,107583.0,..
519,1964,COM,203753.0,..
520,1964,KAZ,11511847.0,..
521,1964,MDV,100171.0,..
522,1964,ETH,24397022.0,..
523,1964,UZB,9762816.0,..
524,1964,KGZ,2495300.0,..
525,1964,TJK,2402477.0,..
526,1964,JPN,97826000.0,81749006382.0
527,1964,BRA,81064571.0,21211892260.0
528,1964,ISR,2475000.0,3405333333.0
529,1964,SWE,7661354.0,21137242561.0
530,1964,TUR,30244261.0,11177777778.0
531,1964,ARM,2145001.0,..
532,1964,CIV,4071411.0,921063266.4
533,1964,KEN,9222692.0,998759333.6
534,1964,BEN,2585965.0,269818988.3
535,1964,GHA,7524472.0,1731296119
536,1964,SOM,3001158.0,229529912.7
537,1964,SYR,5200336.0,1339494290
538,1964,GBR,54000000.0,93387598814.0
539,1964,CHI,113773.0,..
540,1964,IND,488848135.0,56480291292.0
541,1964,POL,31139450.0,..
542,1964,PAN,1276331.0,776137500
543,1964,GEO,3870300.0,..
544,1964,GUY,637845.0,194773376.9
545,1964,VEN,9369096.0,8099318182
546,1964,COL,18175185.0,5973366667.0
547,1964,PER,11383373.0,4356913870.0
548,1964,UGA,7719104.0,589056603.8
549,1964,NZL,2585400.0,7274144351.0
550,1964,ECU,5093854.0,2244146868.0
